"Con catene e cordoli";"Provincia";"Comune";"Dato non disponibile";"Senza catene e cordoli";"Regione";
4;"MASSA-CARRARA";"Aulla";2;3;"Toscana";
0;"MASSA-CARRARA";"Bagnone";0;0;"Toscana";
0;"MASSA-CARRARA";"Carrara";0;0;"Toscana";
343;"MASSA-CARRARA";"Casola in Lunigiana";87;477;"Toscana";
0;"MASSA-CARRARA";"Comano";0;0;"Toscana";
0;"MASSA-CARRARA";"Filattiera";0;0;"Toscana";
532;"MASSA-CARRARA";"Fivizzano";213;853;"Toscana";
20;"MASSA-CARRARA";"Fosdinovo";0;51;"Toscana";
1;"MASSA-CARRARA";"Licciana Nardi";1;4;"Toscana";
0;"MASSA-CARRARA";"Massa";0;0;"Toscana";
0;"MASSA-CARRARA";"Mulazzo";3;0;"Toscana";
0;"MASSA-CARRARA";"Pontremoli";0;0;"Toscana";
0;"MASSA-CARRARA";"Tresana";0;0;"Toscana";
0;"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;"Toscana";
0;"LUCCA";"Bagni di Lucca";0;0;"Toscana";
0;"LUCCA";"Barga";0;0;"Toscana";
0;"LUCCA";"Borgo a Mozzano";0;0;"Toscana";
6;"LUCCA";"Camporgiano";0;3;"Toscana";
7;"LUCCA";"Careggine";0;8;"Toscana";
2;"LUCCA";"Castelnuovo di Garfagnana";5;2;"Toscana";
1;"LUCCA";"Castiglione di Garfagnana";0;0;"Toscana";
0;"LUCCA";"Coreglia Antelminelli";0;0;"Toscana";
0;"LUCCA";"Fabbriche di Vallico";0;0;"Toscana";
1;"LUCCA";"Fosciandora";0;2;"Toscana";
4;"LUCCA";"Gallicano";3;5;"Toscana";
57;"LUCCA";"Giuncugnano";5;45;"Toscana";
171;"LUCCA";"Minucciano";39;173;"Toscana";
0;"LUCCA";"Molazzana";0;0;"Toscana";
0;"LUCCA";"Pescaglia";0;0;"Toscana";
37;"LUCCA";"Piazza al Serchio";9;28;"Toscana";
0;"LUCCA";"Pieve Fosciana";0;0;"Toscana";
6;"LUCCA";"San Romano in Garfagnana";3;0;"Toscana";
63;"LUCCA";"Sillano";4;57;"Toscana";
0;"LUCCA";"Stazzema";0;0;"Toscana";
3;"LUCCA";"Vagli Sotto";5;3;"Toscana";
0;"LUCCA";"Vergemoli";0;0;"Toscana";
2;"LUCCA";"Villa Collemandina";0;3;"Toscana";
