"Uffici";"Servizio Pubblico";"Deposito";"Provincia";"Commercio";"Comune";"Strategico";"Turistico Ricettivo";"Produttivo";"Abitativo";"Regione";
0;0;2;"MASSA-CARRARA";0;"Aulla";0;0;1;5;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Bagnone";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Carrara";0;0;0;0;"Toscana";
3;5;86;"MASSA-CARRARA";8;"Casola in Lunigiana";0;1;3;512;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Comano";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Filattiera";0;0;0;0;"Toscana";
10;4;166;"MASSA-CARRARA";38;"Fivizzano";3;10;4;908;"Toscana";
0;1;0;"MASSA-CARRARA";0;"Fosdinovo";0;0;1;33;"Toscana";
0;0;5;"MASSA-CARRARA";0;"Licciana Nardi";0;0;0;2;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Massa";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Mulazzo";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Pontremoli";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Tresana";0;0;0;0;"Toscana";
0;0;0;"MASSA-CARRARA";0;"Villafranca in Lunigiana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Bagni di Lucca";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Barga";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Borgo a Mozzano";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Camporgiano";0;0;0;2;"Toscana";
0;0;1;"LUCCA";0;"Careggine";0;0;0;6;"Toscana";
0;1;1;"LUCCA";0;"Castelnuovo di Garfagnana";0;0;0;3;"Toscana";
0;0;0;"LUCCA";0;"Castiglione di Garfagnana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Coreglia Antelminelli";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Fabbriche di Vallico";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Fosciandora";0;0;0;2;"Toscana";
2;0;0;"LUCCA";3;"Gallicano";0;0;0;9;"Toscana";
0;0;3;"LUCCA";0;"Giuncugnano";0;3;0;22;"Toscana";
2;5;11;"LUCCA";4;"Minucciano";0;3;1;153;"Toscana";
0;0;0;"LUCCA";0;"Molazzana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";0;"Pescaglia";0;0;0;0;"Toscana";
0;0;1;"LUCCA";0;"Piazza al Serchio";0;0;0;23;"Toscana";
0;0;0;"LUCCA";0;"Pieve Fosciana";0;0;0;0;"Toscana";
0;0;0;"LUCCA";1;"San Romano in Garfagnana";0;0;0;4;"Toscana";
0;0;7;"LUCCA";0;"Sillano";0;0;0;28;"Toscana";
0;0;0;"LUCCA";0;"Stazzema";0;0;0;0;"Toscana";
0;0;1;"LUCCA";0;"Vagli Sotto";0;0;0;1;"Toscana";
0;0;0;"LUCCA";0;"Vergemoli";0;0;0;0;"Toscana";
0;0;4;"LUCCA";0;"Villa Collemandina";0;0;0;5;"Toscana";
