"1 - Isolato";"Provincia";"3 - D'estremità";"Comune";"2 - Interno ";"Dato non disponibile";"Regione";"4 - D'angolo";
1;"MASSA-CARRARA";3;"Aulla";2;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Bagnone";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Carrara";0;0;"Toscana";0;
119;"MASSA-CARRARA";122;"Casola in Lunigiana";82;12;"Toscana";37;
0;"MASSA-CARRARA";0;"Comano";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Filattiera";0;0;"Toscana";0;
246;"MASSA-CARRARA";200;"Fivizzano";153;28;"Toscana";45;
2;"MASSA-CARRARA";10;"Fosdinovo";10;4;"Toscana";3;
1;"MASSA-CARRARA";1;"Licciana Nardi";2;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Massa";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Mulazzo";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Pontremoli";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Tresana";0;0;"Toscana";0;
0;"MASSA-CARRARA";0;"Villafranca in Lunigiana";0;0;"Toscana";0;
0;"LUCCA";0;"Bagni di Lucca";0;0;"Toscana";0;
0;"LUCCA";0;"Barga";0;0;"Toscana";0;
0;"LUCCA";0;"Borgo a Mozzano";0;0;"Toscana";0;
1;"LUCCA";1;"Camporgiano";0;0;"Toscana";0;
1;"LUCCA";1;"Careggine";2;0;"Toscana";2;
5;"LUCCA";2;"Castelnuovo di Garfagnana";0;0;"Toscana";0;
0;"LUCCA";1;"Castiglione di Garfagnana";0;0;"Toscana";0;
0;"LUCCA";0;"Coreglia Antelminelli";0;0;"Toscana";0;
0;"LUCCA";0;"Fabbriche di Vallico";0;0;"Toscana";0;
1;"LUCCA";0;"Fosciandora";0;0;"Toscana";0;
1;"LUCCA";0;"Gallicano";1;0;"Toscana";1;
23;"LUCCA";15;"Giuncugnano";7;0;"Toscana";3;
66;"LUCCA";53;"Minucciano";19;3;"Toscana";11;
0;"LUCCA";0;"Molazzana";0;0;"Toscana";0;
0;"LUCCA";0;"Pescaglia";0;0;"Toscana";0;
18;"LUCCA";8;"Piazza al Serchio";2;1;"Toscana";1;
0;"LUCCA";0;"Pieve Fosciana";0;0;"Toscana";0;
1;"LUCCA";1;"San Romano in Garfagnana";0;0;"Toscana";2;
15;"LUCCA";18;"Sillano";8;0;"Toscana";5;
0;"LUCCA";0;"Stazzema";0;0;"Toscana";0;
5;"LUCCA";0;"Vagli Sotto";0;0;"Toscana";1;
0;"LUCCA";0;"Vergemoli";0;0;"Toscana";0;
2;"LUCCA";0;"Villa Collemandina";0;0;"Toscana";0;
