"Provincia";"Comune";"Non utilizzato";"Dato non disponibile";"Non finito";"In costruzione";"Oltre 65%";"Abbandonato";"Meno del 30%";"Tra 30 e 65%";"Regione";
"MASSA-CARRARA";"Aulla";0;0;0;0;5;0;3;0;"Toscana";
"MASSA-CARRARA";"Bagnone";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Carrara";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Casola in Lunigiana";48;38;6;4;359;18;280;96;"Toscana";
"MASSA-CARRARA";"Comano";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Filattiera";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Fivizzano";140;88;4;8;781;49;295;148;"Toscana";
"MASSA-CARRARA";"Fosdinovo";12;0;0;0;28;0;16;6;"Toscana";
"MASSA-CARRARA";"Licciana Nardi";0;0;0;0;6;0;2;0;"Toscana";
"MASSA-CARRARA";"Massa";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Mulazzo";0;0;0;0;2;0;0;1;"Toscana";
"MASSA-CARRARA";"Pontremoli";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Tresana";0;0;0;0;0;0;0;0;"Toscana";
"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Bagni di Lucca";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Barga";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Borgo a Mozzano";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Camporgiano";1;0;0;0;7;0;0;2;"Toscana";
"LUCCA";"Careggine";4;0;0;0;8;1;1;1;"Toscana";
"LUCCA";"Castelnuovo di Garfagnana";2;2;0;0;5;1;0;0;"Toscana";
"LUCCA";"Castiglione di Garfagnana";0;0;0;0;0;0;0;1;"Toscana";
"LUCCA";"Coreglia Antelminelli";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Fabbriche di Vallico";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Fosciandora";0;0;0;0;3;0;0;0;"Toscana";
"LUCCA";"Gallicano";1;1;0;0;5;3;2;0;"Toscana";
"LUCCA";"Giuncugnano";11;3;1;1;59;4;23;9;"Toscana";
"LUCCA";"Minucciano";34;23;1;0;225;2;77;16;"Toscana";
"LUCCA";"Molazzana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Pescaglia";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Piazza al Serchio";3;3;0;0;60;2;1;4;"Toscana";
"LUCCA";"Pieve Fosciana";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"San Romano in Garfagnana";0;0;0;0;6;2;1;0;"Toscana";
"LUCCA";"Sillano";16;7;0;0;69;3;19;11;"Toscana";
"LUCCA";"Stazzema";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Vagli Sotto";2;1;0;0;7;0;1;0;"Toscana";
"LUCCA";"Vergemoli";0;0;0;0;0;0;0;0;"Toscana";
"LUCCA";"Villa Collemandina";0;1;0;0;1;3;0;0;"Toscana";
