"Con catene e cordoli";"Provincia";"Comune";"Dato non disponibile";"Senza catene e cordoli";"Regione";
2;"MASSA-CARRARA";"Aulla";2;3;"Toscana";
0;"MASSA-CARRARA";"Bagnone";0;0;"Toscana";
0;"MASSA-CARRARA";"Carrara";0;0;"Toscana";
141;"MASSA-CARRARA";"Casola in Lunigiana";34;293;"Toscana";
0;"MASSA-CARRARA";"Comano";0;0;"Toscana";
0;"MASSA-CARRARA";"Filattiera";0;0;"Toscana";
193;"MASSA-CARRARA";"Fivizzano";63;417;"Toscana";
4;"MASSA-CARRARA";"Fosdinovo";0;21;"Toscana";
1;"MASSA-CARRARA";"Licciana Nardi";0;2;"Toscana";
0;"MASSA-CARRARA";"Massa";0;0;"Toscana";
0;"MASSA-CARRARA";"Mulazzo";2;0;"Toscana";
0;"MASSA-CARRARA";"Pontremoli";0;0;"Toscana";
0;"MASSA-CARRARA";"Tresana";0;0;"Toscana";
0;"MASSA-CARRARA";"Villafranca in Lunigiana";0;0;"Toscana";
0;"LUCCA";"Bagni di Lucca";0;0;"Toscana";
0;"LUCCA";"Barga";0;0;"Toscana";
0;"LUCCA";"Borgo a Mozzano";0;0;"Toscana";
1;"LUCCA";"Camporgiano";0;1;"Toscana";
2;"LUCCA";"Careggine";0;5;"Toscana";
1;"LUCCA";"Castelnuovo di Garfagnana";2;1;"Toscana";
0;"LUCCA";"Castiglione di Garfagnana";0;0;"Toscana";
0;"LUCCA";"Coreglia Antelminelli";0;0;"Toscana";
0;"LUCCA";"Fabbriche di Vallico";0;0;"Toscana";
1;"LUCCA";"Fosciandora";0;1;"Toscana";
3;"LUCCA";"Gallicano";1;5;"Toscana";
11;"LUCCA";"Giuncugnano";1;18;"Toscana";
44;"LUCCA";"Minucciano";9;79;"Toscana";
0;"LUCCA";"Molazzana";0;0;"Toscana";
0;"LUCCA";"Pescaglia";0;0;"Toscana";
6;"LUCCA";"Piazza al Serchio";1;10;"Toscana";
0;"LUCCA";"Pieve Fosciana";0;0;"Toscana";
3;"LUCCA";"San Romano in Garfagnana";0;0;"Toscana";
7;"LUCCA";"Sillano";1;26;"Toscana";
0;"LUCCA";"Stazzema";0;0;"Toscana";
0;"LUCCA";"Vagli Sotto";0;2;"Toscana";
0;"LUCCA";"Vergemoli";0;0;"Toscana";
2;"LUCCA";"Villa Collemandina";0;3;"Toscana";
